KUNDENR;CVRNR;KUNDETYPE;REGION;BUTIKSNAVN;KUNDENAVN;ADRESSE;LAND;POSTNR;BYNAVN;TLFNR;EDINR;EMAIL
030159-8;19790983;58;1;CITY LETKØB KØBENHAVN V;BEKIR KURU;NIELS BROCKSGADE 9;DK;1574;KØBENHAVN V;33147982;5790000011834;CITYLETKOB@HOTMAIL.COM
041745-1;32496830;58;2;KØBMANDEN I SØLLERØD;ESBEN BERTEL JENSEN;VANGEBOVEJ 60 -  SØLLERØD;DK;2840;HOLTE;45803606;5790000011902;KOBMAND@MAIL.DK
052407-4;1545630;58;1;LET-KØB TJELE;INGE LISE BRAAD KASTBJERG;HOVEDGADEN 24  - VEJRUMBRO;DK;8830;TJELE;86654045;5790000012145;8830.HOVEDGADEN@LETKOB.NET
053090-7;10271983;58;1;LETKØB BOLDERSLEV;B. BRANDENHOFF;JERNBANESVINGET 2;DK;6392;BOLDERSLEV;74646209;5790000025022;B.BRANDENHOFF@GMAIL.COM
076509-9;13285195;58;1;HAUGE MINIMARKED;ANNE GRETHE RASMUSSEN;HAUGEVEJ 33 -  HAUGE;DK;8620;KJELLERUP;86888013;5790000026791;HAUGEMINIMARKED@MAIL.DK
076507-3;10179513;58;2;LETKØB ÅRHUS C.;TORBEN ANDERSEN;SØNDERBORGGADE 9;DK;8000;ÅRHUS C;86145432;5790000027729;TORBENNO@YAHOO.DK
050242-7;31838533;58;1;JEGINDØ KØBMANDSHANDEL;HANNE BJERREGAARD PEDERSEN;KONGEVEJEN 64;DK;7790;THYHOLM;97879155;5790000037247;JEGINDHANDEL@DLGMAIL.DK
071479-0;16849979;58;5;KØBMAND BJARNE FOLMER;KØBMAND BJARNE FOLMER;TRANDERUPVEJ 31;DK;5970;ÆRØSKØBING;62521653;5790000038206;ANITARASMUSSEN@GODMAIL.DK
076111-4;26322952;58;2;LETKØB VEJLE;CLAUS HOLM FAHLEN;STAMPESVEJ 63;DK;7100;VEJLE;75820681;5790000044559;CLAUSANITA@MAIL.DK
017105-8;13322732;58;5;LØGVED GARTNERI;ANNI PETERSEN;FREDERIKSBERG 71;DK;4470;SVEBØLLE;59293453;5790000045372; 
045001-5;15804416;58;3;CARLSRO SUPER RØDOVRE;CARLSRO SUPER A/S;TÅRNVEJ 209-211;DK;2610;RØDOVRE;36703401;5790000048052;OWO@CARLSROSUPER.DK
072104-3;71463818;58;1;LETKØB ODENSE M.;SØREN RASMUSSEN;SADOLINSGADE 131;DK;5230;ODENSE M;66123155;5790000230167;LETKOB@CDNET.DK
037691-3;32434479;58;3;KØBMANDEN I VRIDSLØSE;ANNE-LINDA HANSEN;FÆNGSELSVEJ 39;DK;2620;ALBERTSLUND;61861602;5790000231263;ANNELINDA65@GMAIL.COM
037722-6;18578980;58;1;LETKØB ALBERTSLUND;KENNETH SPANDET;HOLSBJERGVEJ 20-22;DK;2620;ALBERTSLUND;23812971;5790000231287;KENNETHPETERSEN35@HOTMAIL.COM
051126-1;10179513;58;2;LETKØB VIBY J;TORBEN ANDERSEN;ROSENVANGS ALLE 50;DK;8260;VIBY J;86140179;5790000233809;TORBENNO@YAHOO.DK
037729-1;26059119;58;3;HAVNEHØKEREN MARIBO;BO BRØCHNER-NIELSEN;FEMØ HAVN 1;DK;4930;MARIBO;50434282;5790000234479;HOEKEREN@GMAIL.COM
050954-7;32835163;58;1;BORK LETKØB;BORK LETKØB APS.;TARMVEJ 230, SDR. BORK;DK;6893;HEMMET;75280944;5790000234608;BORKLETKOB@GMAIL.COM
050231-0;35952411;58;3;CENTERBUTIK;RØNBJERG ATTRAKTION SERVIC A/S;LIVØVEJ 80;DK;9681;RANUM;98666667;5790000234714;LP@DAYZRONBJERG.DK
076824-2;32872670;58;3;KØBMAND SMEDEGÅRD I/S;KIM & THOMAS SMEDEGÅRD;SJÆLLANDSGADE 103;DK;8000;ÅRHUS C;86121269;5790000235285;KKDS@LIVE.DK
030163-0;44243717;58;1;OMØ BRUGSFORENING-LETKØB;OMØ BRUGSFORENING;FYRVEJ 13 - OMØ;DK;4230;SKÆLSKØR;58199003;5790000236701;4230.FYRVEJ@LETKOB.NET
051446-3;27110436;58;1; LETKØB  STRYNØ;SONNY DYREBORG.;STJERNEGADE 2;DK;5900;RUDKØBING;62515253;5790000237678;KOBMANDEN@STRYNET.DK
051324-2;28842430;58;5;SEAWEST ATTRAKTIONER APS;SEAWEST ATTRAKTIONER APS;VESTERHAVSVEJ 81;DK;6830;NØRRE NEBEL;88820960;5790000237685;SUPERMARKED@DAYZSEAWEST.DK
050149-4;33671237;58;1;LETKØB HUNDSLUND KØBMANDS;HUNDSLUND KØBM.GÅRD;LANDEVEJEN 8;DK;8350;HUNDSLUND;86545658;5790000240227;HK@HUNDSLUND.COM
051994-2;31452554;58;3;STATSFÆNGSLET;JENS CHRISTIAN SØRENSEN;FRODESDALVEJ 3;DK;8700;HORSENS;75657106;5790000240326;STENSBALLE@SPAR.DK
050987-7;33984782;58;4;FORTEPARKEN´S KØBMAND;SAIED ZOGHI;ELLEBJERGVEJ 2;DK;8240;RISSKOV;86177006;5790000241194;FORTEPARKEN.KOBMAND@GMAIL.COM
051131-1;33935404;58;1;LETKØB GLAMSBJERG;JETTE WEBER;FRØBJERGVEJ 13 ØRSTED;DK;5620;GLAMSBJERG;64451243;5790000241453;FWEBER@MAIL.DK
852445-6;30873831;58;3;CHRISTIANSØ KØBM.H.&GÆSTG;STIG ANDERSEN;CHRISTIANSØ 10;DK;3760;GUDHJEM;56462015;5790000244461;C.HALLBERG@JUBII.DK
051463-8;33463278;58;1;LETKØB HVILSOM KBM.FOR.;ESBEN PALLESEN MADSEN;HANNERUPVEJ 259, HVILSOM;DK;9500;HOBRO;96977070;5790000244782;MAIL@HVILSOMKOBMAND.DK
800614-0;17123971;58;3;SAMSØ KIOSKEN;ULRIK PAULSEN;LANGGADE 14;DK;8305;SAMSØ;86590945;5790000246885;ULRIKPAULSEN@HOTMAIL.COM
800713-0;16602337;58;4;F. S. KIOSKEN;BRITTA OG STEEN ANDERSEN;BYCENTRET;DK;5330;MUNKEBO;65974335;5790000247875;BROFSKIOSK@OFIR.DK
041071-2;25820940;58;1;LETKØB BORUPS ALLE;FARRUKH ANJUM;BORUPS ALLE 200;DK;2400;KØBENHAVN NV;38343570;5790000248759;FARRUKH_ANJUM@YAHOO.DK
076538-8;11766307;58;1;LETKØB GRÅSTEN;WERNER CLAUSEN;KONGEVEJ 26;DK;6300;GRÅSTEN;74651911;5790000249183;WERNER_CLAUSEN@BBSYD.DK
076542-0;29589569;58;1;LETKØB BARMER;ANTON LEED;KIRKEVEJ 2  -  BARMER;DK;9240;NIBE;98355025;5790000249367;BARMER@JUBII.DK
072002-9;10249090;58;2;LETKØB IKAST;NIELS PEDERSEN;BYGADEN 6 ISENVAD;DK;7430;IKAST;97140006;5790000256372;SALG@ISENVADKOBMAND.DK
852437-3;27768245;58;3;RETNEMT.DK APS;KLAUS TOFT NØRGAARD;OLE RØMERSVEJ 4;DK;3000;HELSINGØR;49177176;5790000257522;KTN@RETNEMT.DK
072066-4;21330043;58;2;DEN GAMLE KØBMANDSGÅRD;MARIANNE TILGAARD;HAVNEBYVEJ 211 -  MØLBY;DK;6792;RØMØ;74755131;5790000257706;D.G.K@LIVE.DK
037855-4;27543103;58;1;LETKØB FEJØ;HENRIK OG NELLIE HESSELBJERG.;HERREDSVEJ 259;DK;4944;FEJØ;54713047;5790000269617;HESSELBG@TDCADSL.DK
037856-2;19368572;58;1;LETKØB FREDERIKSSUND;SOKSHI APS.;HEIMDALSVEJ 7;DK;3600;FREDERIKSSUND;47310607;5790000269877;LETKOB3600@LIVE.DK
052400-9;21281573;58;5;AB SUPER HJØRRING;SUPERVIN HJØRRING A/S;SKAGNSVEJ 201;DK;9800;HJØRRING;98921853;5790000270132;JF@PRIMEWINE.DK
050863-0;30580265;58;1;RØMØ KØBMANDEN (LETKØB);RØMØ KØBMANDEN APS.;HAVNEBYVEJ 25;DK;6792;RØMØ;74755113;5790000270156;ROMO@ROMOKOBMAND.DK
037692-1;26579058;58;1;KØBMANDEN  PÅ REERSØ;ROBERT BANG HANSEN;STRANDVEJEN 79 - REERSØ;DK;4281;GØRLEV;58859006;5790000270163;REERSOPOLSTER@HOTMAIL.DK
037857-0;34761469;58;4;LETKØB KØBENHAVN K.;LETKØB I/S  M. AKRAM & A.AHMED;ESPLANADEN 1;DK;1264;KØBENHAVN K;33152599;5790000270224;AMANAT6060@GMAIL.COM
050245-0;71750515;58;5;POINT;SELECT SERVIVE PARTNER A/S;NY LUFTHAVNSVEJ 100;DK;9400;NØRRESUNDBY;98179684;5790000270309;SSP.REGNSKAB@SSP.DK
037566-7;53383211;58;5;VESTRE FÆNGSEL;BUTIKKEN;VIGERSLEV ALLE 1;DK;2450;KØBENHAVN SV;72555420;5790000606528;KF-DEPOT@KRIMINALFORSORGEN.DK
041707-1;18673606;58;1;MINIMARKED LETKØB BRØNSHØ;SHANSUL ALAM;FREDERIKSSUNDSVEJ 210;DK;2700;BRØNSHØJ;38284022;5790000607037;SHAMSUL.ALAM.210@H0TMAIL.COM
072101-9;19505502;58;1;LETKØB  VORNING;KARL NIELSEN;VORNINGVEJ 75;DK;8830;TJELE;86451017;5790000608218;VORNING.KOEBMAND@GMAIL.COM
037679-8;32590284;58;1;KRAGENÆS SKIBSPROVIANT;FUNCH TURISTFART;KRAGENÆSVEJ 82;DK;4943;TORRIG L;99999999;5790000608331;RENEBETJENT007@NAKSKOVNET.DK
050047-0;35055630;58;1;DJØRLING FORRETNING;DJØRLING FORRETNING APS;SKÅSTRUPVEJ 62;DK;5400;BOGENSE;64812817;5790000608393;KARINA.KNUDSEN1977@GMAIL.COM
031007-8;21257796;58;1;NEM;BALBIR SINGH;HORSEKILDEVEJ 22;DK;2500;VALBY;99999999;5790000608447;BIKRAM_112@HOTMAIL.COM
031068-0;34964262;58;1;AGERSØ KØBMANDSHANDEL;PETER OLSEN;HELHOLMVEJ 8;DK;4230;SKÆLSKØR;58198012;5790000609062;AGERSOEKOEBMAND@MAIL.DK
030173-9;18556383;58;1;TOREBY KØBMANDSHANDEL;MICHAEL IPSEN;TOREBYVEJ 25;DK;4891;TOREBY L;54869002;5790000661145;TOREBYKOBMAND@IPSEN-EL.DK
050050-4;30469445;58;1;LETKØB;ELLY H.N.INGVARTSEN;HOUVIG KLITVEJ 51;DK;6950;RINGKØBING;97339977;5790000661336;HOUVIG@GMAIL.COM
050051-2;35028900;58;3;HELSEKOST.DK;HELSEKOST.DK APS;KYSTVEJEN 64;DK;9400;NØRRESUNDBY;23987706;5790000661459;ANNI@HELSEKOST.DK
050054-6;35257306;58;1;HOS KØBMANDEN HYLKE;HOS KØBMANDEN HYLKE APS;HYLKEVEJ 52 -  HYLKE;DK;8660;SKANDERBORG;86538006;5790000661756;HOSKOBMANDENHYLKE@GMAIL.COM
037681-4;27866794;58;1;KØBMAND SAMEEN SADDIQUE;KØBMAND SAMEEN SADDIQUE;JERNBANEVEJ 2;DK;4262;SANDVED;55456109;5790000662289;SAMEENSIDDIQUE@HOTMAIL.DK
050864-8;34979413;58;1;TUNØ KØBMANDSGÅRD;MAIKEN ROSENQVIST;TUNØ HOVEDGADE 31;DK;8300;ODDER;86553005;5790000662401;MAIKENROSENQVIST@GMAIL.COM
031075-5;21248584;58;4;KIOSKEN RINGSTED;RENE BØJSEN JENSEN;HOLBÆKVEJ 10;DK;4100;RINGSTED;57612462;5790000662463;HOLBAKVEJ10@GMAIL.COM
031076-3;26057655;58;4;KIOSKEN RINGSTED;RENE BØJSEN JENSEN;RØNNEDEVEJ 13;DK;4100;RINGSTED;57610210;5790000662487;RONNEDEVEJ13@GMAIL.COM
050063-7;32260799;58;3;RØNBJERG KØBMAND;RØNBJERG KØBMAND APS;STATIONSVEJ 30, RØNBJERG;DK;7800;SKIVE;97534013;5790000662630;GERT-1038A@LIVE.DK
050070-2;17928295;58;3;KØBMAND NIELS S.OTTESEN;KØBMAND NIELES S.OTTESEN APS;STORGADE 1;DK;8950;ØRSTED;86488036;5790000662845;NSO@PRIVAT.DK
031077-1;32347657;58;1;KØBMANDEN;GYRSTINGE-Ø.VESTER KØB.FOR.APS;GYRSTINGE BYGADE 26;DK;4100;RINGSTED;57675161;5790000662982; 
851981-1;23683404;58;4;SERVICEKIOSKEN;DORTE JOHANSEN;FLODVEJ 75;DK;2765;SMØRUM;44681364;5790000698042;KUKURET@JOHANSEN.MAIL.DK
072127-4;16653888;58;1;LETKØB - ÅRHUS C;JØRN RATHCKE;HANS BROGES GADE 20;DK;8000;ÅRHUS C;86123101;5790000708956;GYDA-JORN@MAIL.DK
042005-9;27790321;58;2;LETKØB KASTRUP;MICHALA & LARS J. CHRISTHOLT;SKOTTEGÅRDEN 4;DK;2770;KASTRUP;32505503;5790000709274;LETKOBSKOTTEGAARDEN@GODMAIL.DK
042043-0;28304218;58;1;LETKØB HORBELEV;FLEMMING HANSEN;HESNÆSVEJ 32 - MOSEBY;DK;4871;HORBELEV;54444008;5790000709311;FOKUSMOSEBY@HOTMAIL.COM
201214-4;20434406;58;2;LETKØB MIDDELFART;KIM LARSEN;TEGLGÅRDSVEJ 36;DK;5500;MIDDELFART;64410449;5790000824373;KIM@SKOVGADE.DK
072128-2;14647236;58;4;STJERNEKIOSKEN;STJERNEKIOSKEN APS;SKELAGERVEJ 11 - 13;DK;8200;ÅRHUS N;86109444;5790000825158;STJERNEKIOSKEN@YAHOO.DK
072124-1;14647236;58;4;STJERNEKIOSKEN;STJERNEKIOSKEN APS;THUNØGADE 57;DK;8000;ÅRHUS C;86139055;5790000825172;STJERNEKIOSKEN@YAHOO.DK
852139-5;26323193;58;4;HERLEV SYGEHUS - KIOSKEN;ANESA MAHOMED;HERLEV SYGEHUS;DK;2730;HERLEV;44940143;5790000830572;KIOSKHERLEV@YAHOO.COM
042000-0;25441346;58;3;FOCUS - KØBENHAVN Ø.;DANSK STJERNESTÅL APS V/AYKUT;ØSTER FARIMAGSGADE 28 B;DK;2100;KØBENHAVN Ø;35383834;5790000831814;FOCUS@LIVE.DK
042033-1;59371215;58;1;BUTIK FEDDET;IVAN REEDTZ THOTT;FEDDET 12;DK;4640;FAKSE;56725401;5790001214173;KK@FEDDETCAMPING.DK
072018-5;31413206;61;9;KIOSKEN I SJÆLLANDSGADE;SJÆLLANDSGADE APS;SJÆLLANDSGADE 15-17;DK;8900;RANDERS C;86436727;5790000005253;KIOSKENISJAELLANDSGADE@GMAIL.COM
803444-9;31833485;61;3;VIDEOKIOSKEN;BETTINA NØRHOLM NIELSEN;VON STØCKENS PLADS 2;DK;6760;RIBE;75410241;5790000005802;VIDEOKIOSKEN@THEZUB.DK
042057-0;13331448;61;2;NÆRKØB SLANGERUP;JATINDER KAUR SAGOO;PARKVEJ 1;DK;3550;SLANGERUP;47380991;5790000006014;T@SK-E.DK
803446-4;15293144;61;3;SYGHUSETS MINI MARKED;HENRIK KALTOFT;SDR.BOULEVARD 29;DK;5000;ODENSE C;66112414;5790000006038;KALTOFT@OUH-KIOSKEN.DK
852464-7;16911143;61;2;NÆRKØB GALJEBAKKENS KØBM.;MOHAMMAD ASIF;GALGEBAKKENS TORV 2/10 IND. C;DK;2620;ALBERTSLUND;43640022;5790000006472;ASIF_2369@YAHOO.COM
803465-4;26119154;61;9;NÆRKØB RINGE;FLEMMING HANSEN;ALGADE  62 - 64;DK;5750;RINGE;62601541;5790000235193;RINGE@C.DK
800751-0;17829432;61;3;NÆR-KØB;ULLA MEIER;BAUNEHØJVEJ 6 B;DK;8500;GRENAA;86322911;5790000236855;MEIERGRENAA@MAIL.DK
850048-0;11334970;61;2;MARIAS KIOSK;JØRGEN M. HANSEN;HOLBERGSGADE 9;DK;1057;KØBENHAVN K;33912030;5790000245888;MARIAKIOSK@HOTMAIL.DK
800393-1;19664449;61;9;SYGEHUSKIOSKEN;PER OKKERSTRØM;LÆGÅRDVEJ INDGANG A;DK;7500;HOLSTEBRO;97421690;5790000246595;MEKLEN@MAIL.DK
800536-5;11210848;61;9;DØGNEREN;DORTHE WENDY FROST;NØRREGADE 1    HVIDBJERG;DK;7790;THYHOLM;97871619;5790000246762;WENDY56@LIVE.DK
800634-8;10012988;61;9;NÆR-KØB KIM LARSEN;MIDTBYENS NÆRBUTIK;VESTERGADE 2;DK;9440;AABYBRO;98241017;5790000247080;SWINGKING@POST.TELE.DK
837141-1;26513189;61;2;STATOIL  HVALSØ;STATOIL I/S - MOHAMMAD BROMAND;GL. RINGSTEDVEJ 1;DK;4330;HVALSØ;46408200;5790000270002;HN46408200@GMAIL.COM
803416-7;26886252;61;3;NÆRKØB;CASPER VILHELM PETERSEN;FREDERIKSHAVNSVEJ 23;DK;9300;SÆBY;98461346;5790000606306;CASPERPETERSEN@HOTMAIL.COM
072004-5;29130892;61;9;NÆRKØB;ANDERS HESSELVANG & KIM SJØRUP;FORBINDELSESVEJEN 115;DK;9400;NØRRESUNDBY;98173245;5790000606863;KIM@BILLIGSLIK.DK
800806-2;29766541;61;9;KIOSKEN SKEJBY SYGEHUS;ARBEJDSMARKEDSCENTER SYD;SKEJBY, BRENDSTRUPGÅRSDVEJ;DK;8200;ÅRHUS N;78459148;5790000661176;STDA@AARHUS.DK
037530-3;18455994;61;2;LÆGÅRDENS CAMPING;HENRIK STORM SMEDEGÅRD;VEMMETOFTEVEJ 2, ST.SPJELLERUP;DK;4653;KARISE;56710018;5790000662739;INFO@LCAMP.DK
800586-0;26119154;61;9;PIBESMEDENS DØGNKIOSK;FLEMMING HANSEN;GL.SKÅRUPVÆNGET 31;DK;5700;SVENDBORG;62223628;5790000673315;PIBESMEDEN@C.DK
802166-9;19664449;61;2;STRUERVEJS NÆRKØB;PER OKKERSTRØM;STRUERVEJ 18;DK;7500;HOLSTEBRO;97421720;5790000679386;MEKLEN@MAIL.DK
852120-5;26094739;61;2;LØJTOFTEVEJENS KIOSK;HENNING KARLSSON;LØJTOFTEVEJ 74;DK;4900;NAKSKOV;54925284;5790000831364;WIELANDT.JB@POST.TELE.DK
072111-8;17229893;61;3;NÆRKØB ASSENS;THAI QUANG TRAN;DANKWART DREYERSVEJ 20 B;DK;5610;ASSENS;64715770;5790000835522;THAI65TRAN@YAHOO.COM
800117-4;20487186;61;9;KØBMAND KROGSGAARD;JIMMIE KROGSGAARD NIELSEN;INGERSLEVS PLADS 1A;DK;8000;ÅRHUS C;86130422;5790001099381;KROGSGAARD@BUSINESS.TELE.DK
800127-3;26061474;61;2;HJALLERUP DØGNKIOSK;KLAUS ANDRESEN;ØSTERGADE 13;DK;9320;HJALLERUP;98282033;5790001099411;HJALLERUPDOGNBUTIK@GMAIL.COM
802497-8;25827805;61;3;LYØ KØBMANDSHANDEL;PALLE VOLDER;LYØ BYGADE 13;DK;5600;FAABORG;62618708;5790001254414;VOLDERLYOE@STRYNET.DK
802930-8;28910363;61;9;NÆRKØB MIDT I;TRI THI PHAM;KONGENSGADE 25;DK;6700;ESBJERG;75124610;5790001256180;VIEN@HOTMAIL.DK
852382-1;29075050;61;2;NÆRKØB KØBENHAVN N;AMIR HAMEED;GULDBERGGADE 24;DK;2200;KØBENHAVN N;35376669;5790001258528;NAERKOEB24@GMAIL.COM
051454-7;20473398;62;2;CENTERBAGERIET;SHARIF AHMAD FAISSAD;KAPPELVÆNGET 4;DK;8210;ÅRHUS V;86151011;5790000006601;SHARIFFAIZZAD@HOTMAIL.COM
803460-5;20490942;62;2;SUPER FRUGT;BASSAM ELNAJI;EMMASVEJ 1;DK;8220;BRABRAND;26174943;5790000007554;MOSA_FRUGT@LIVE.DK
803418-3;72359313;62;0;LANDLYST SUPER;ANNE-GRETE NIELSEN;SUNDVEJ 37 - SUNDSTRUP;DK;8832;SKALS;86697337;5790000045525;LANDLYSTSUPER@MAIL.DK
800774-2;18068982;62;2;MONARCH;DORTE HAUGAARD;HJEJLEVEJ 107;DK;5800;NYBORG;63311510;5790000230457;KNUDSHOVED@MONARCH.DK
854421-5;21305987;62;1;KIOSKEN I PEBERRENDEN;RAFET DEVECI;SKOMAGERGADE 25;DK;4000;ROSKILDE;46368750;5790000236718;PEBERRENDEN@LIVE.DK
052410-8;28108265;62;1;CANDY SHOP (LALANDIA BIL);LALANDIA BILLUND A/S;ELLEHAMMERSVEJ 3;DK;7190;BILLUND;76149413;5790000237883;BBN@LALANDIA.DK
852475-3;34578362;62;0;SLIKKIOSKEN - ERCAN DEVEC;SLIKKIOSKEN APS.;KANALGADEN 2;DK;2620;ALBERTSLUND;45867211;5790000269570;PEBERRENDEN@LIVE.DK
800876-5;71693511;62;2;UNO X;METAX  - V/ K.KRISTENSEN;AALBORGVEJ 40, HORNUM;DK;9600;AARS;98661073;5790000661725;HANNEHORNUM@GMAIL.COM
050068-6;34535892;62;0;FRK. SANNE;SUSANNE NIELSEN;POSTVEJ 33;DK;8382;HINNERUP;40886773;5790000662746;FRK.SANNE@LIVE.DK
801054-8;20186747;62;2; BRUGER KIOSKEN;PSYKIATRIBRUGERKOOP.1996 SMBA;SKOVAGERVEJ 2;DK;8240;RISSKOV;78471020;5790000662821;LEGARTH_CHRISTENSEN@TDCADSL.DK
072144-9;29717907;62;2;LETKØB SILKEBORG;MASOOD BALUCH;NYLANDSVEJ 7;DK;8600;SILKEBORG;86824559;5790000671373;MASOOD-BALUCH@HOTMAIL.COM
832789-2;21883794;62;2;LOLLIPOPS /NÆRKØB MARSTAL;PETER SKOVBJERG;SKOLEGADE 32;DK;5960;MARSTAL;62533053;5790000680269;SKOVBJERGPETER@GMAIL.COM
072129-0;19899292;62;2;SØRENSENS SUPER GOÓN;SØRENSENS SUPER APS;FUNCH THOMSENSGADE 2;DK;8200;ÅRHUS N;86168813;5790000697731;SOERENSENSUPER@GMAIL.COM
800284-2;43555928;62;2;HERNING MESSECENTER;MCH A/S;VARDEVEJ 1;DK;7400;HERNING;99269926;5790000827824;FAKTURA@MCH.DK
800391-5;26239796;62;2;SYGEHUSKIOSKEN;JEANETTE HANSEN;BISPENSGADE 37;DK;9800;HJØRRING;99646464;5790000828517;HANSENHER@MAIL.DK
803392-0;33642504;62;2;VESTERVANG KIOSK;VESTERVANG KIOSK APS;VESTERVANGSVEJ 16 A;DK;8800;VIBORG;86601955;5790001086374;KIOSK@IMAGE.DK
802463-0;33279981;62;2;BLADCENTRALEN;CLAUS PEDERSEN;HIMMERLANDSGADE 104;DK;9600;AARS;98621164;5790001099350;CLAUSPEDERSEN@AARS.DK
052535-2;13255598;64;5;DANSK HANDELSBLAD;NIELS H. CARSTENSEN;FENRISVEJ 11;DK;8230;ÅBYHØJ;86158011;5790000240784;NICA@DHBLAD.DK
852425-8;29605556;64;5;TRAVEL RETAIL DENMARK APS;GEBR. HEINEMANN RETAIL;TERMINAL  2,   1. SAL;DK;2770;KASTRUP;32314623;5790000257065;P_HANSEN@HEINEMANN-RETAIL.DK
885196-6;16208442;65;1;STATOIL EGTVED   BFI;LARS HANSEN;VESTERGADE 47;DK;6040;EGTVED;75551178;5790000238057;STATOIL-EGTVED@MAIL.DK
885197-4;59890115;65;1;STATOIL BJERT BFI;BENT ANDERSBO;GL.BJERT 2 A;DK;6091;BJERT;75572203;5790000238071;BENTAN@STATOILFUELRETAIL.COM
885198-2;11825109;65;1;STATOIL SKIVE BFI;TOVE PEDERSEN;VIBORGVEJ 93 - SKIVE BY;DK;7800;SKIVE;97521809;5790000238088;TOVPE@STATOILFUELRETAIL.COM
885199-0;12755376;65;1;STATOIL  NIBE  BFI;HENRIK LYNGE;SØNDERGADE 3 A;DK;9240;NIBE;98351555;5790000238095;HLY@STATOILFUELRETAIL.COM
885202-2;15153245;65;1;STATOIL TOFTLUND BFI;POULSEN/LORENTZEN APS;VESTERGADE 25;DK;6520;TOFTLUND;74831415;5790000238125;STATOIL@PILLEVARME.COM
885203-0;30711092;65;1;STATOIL STØVRING BFI;RENE BJERREGÅRD;HOBROVEJ 58;DK;9530;STØVRING;98371122;5790000238132;REBJE@STATOILFUELRETAIL.COM
885204-8;76617619;65;1;STATOIL RUDKØBING BFI;LARS CHRISTIANSEN;NØRREBRO 95;DK;5900;RUDKØBING;62512093;5790000238149;LC@CITROEN-RUDKOEBING.DK
885205-5;13166080;65;1;STATOIL PANDRUP BFI;JANE SØRENSEN;BREDGADE 36;DK;9490;PANDRUP;98246211;5790000238156;JANE@BKS.DK
885206-3;13262306;65;1;STATOIL RANDERS NV  BFI;MAGNUS MADSEN;HOVEDVEJEN 7, RAASTED;DK;8920;RANDERS NV;86443016;5790000238163;MAMADS@STATOILFUELRETAIL.COM
885207-1;25457110;65;1;STATOIL ØSTER SNEDE BFI;KARSTEN ØSTERGAARD;BREDALVEJ 1, ØSTER SNEDE;DK;8723;LØSNING;75893511;5790000238170;LONE@OSTERSNEDE-AUTO.DK
885208-9;29099632;65;1;STATOIL HERRESTRUP BFI;FINN LARSEN;NYKØBINGVEJ 194 -  HERRESTRUP;DK;4571;GREVINGE;59658420;5790000238194;FINLAR@STATOILFUELRETAIL.COM
885209-7;29847126;65;1;STATOIL  KJELLERUP BFI;CHARLOTTE & KURT THOMASEN;PARALLELVEJ 6;DK;8620;KJELLERUP;86881422;5790000238224;HENRIK@KURT-THOMASEN.DK
885211-3;30593405;65;1;STATOIL TØRRING BFI;ANDERS HANSEN;AAGADE 26;DK;7160;TØRRING;75801290;5790000238248;ANHANSE@STATOILFUELRETAIL.COM
885212-1;18627140;65;1;STATOIL ESBJERG BFI;LARS JOHANSEN;SÆDDING RINGVEJ 6;DK;6710;ESBJERG V;75158520;5790000238255;DK-BENZIN@MAIL.DK
885213-9;31284015;65;1;STATOIL AULUM  BFI;THOMAS & ANNI LAURITSEN;SMEDEGADE 2;DK;7490;AULUM;97471197;5790000238262;ANNISTATOIL@MAIL.DK
885214-7;19261204;65;1;STATOIL ASSENTOFT BFI;HENRIK THOFT;STOREGADE 12, ASSENTOFT;DK;8960;RANDERS SØ;86494229;5790000238279;HETHOF@STATOILFUELRETAIL.COM
885215-4;26550157;65;1;STATOIL BÆKMARKSBRO BFI;SØREN HUNDAHL;BROGADE 68;DK;7660;BÆKMARKSBRO;97881136;5790000238293;STATOIL@MAIL.DK
885216-2;14731792;65;1;STATOIL RYOMGÅRD BFI;SVEND  PILGAARD;NIMTOFTEVEJ 2;DK;8550;RYOMGÅRD;86394089;5790000238309;JPIL@STATOIL.COM
885217-0;32512208;65;1;STATOIL JUELSMINDE BFI;ANETTE NIELSEN;ODELSGADE 57;DK;7130;JUELSMINDE;75693011;5790000238316;ANENI@STATOIL.COM
885218-8;25105389;65;1;STATOIL BOGENSE BFI;MORTEN OLSEN;ODENSEVEJ 136;DK;5400;BOGENSE;64811203;5790000238347;MORTOL@STATOIL.COM
885219-6;83463228;65;1;STATOIL SVENSTRUP BFI;ULRIK SPLID;HOBROVEJ 750;DK;9230;SVENSTRUP J;98381026;5790000238354;SPLIID_4@HOTMAIL.COM
885220-4;51210719;65;1;STATOIL MØRKØV BFI;CARL & LIZZI SØRENSEN;HOLBÆKVEJ 239;DK;4440;MØRKØV;59275356;5790000238361;59275356@MAIL.DK
885221-2;31890446;65;1;STATOIL ØSTBIRK BFI;JØRN NIELSEN;VESTBIRKVEJ 14;DK;8752;ØSTBIRK;75781123;5790000238378;JORNNI@STATOILFUELRETAIL.COM
885222-0;19147177;65;1;STATOIL ODENSE C  - BFI;JENS BRUN  LARSEN;KOCHSGADE 94;DK;5000;ODENSE C;66134419;5790000238392;JELAR@STATOILFUELRETAIL.COM
885227-9;21515736;65;1;STATOIL  LAURBJERG BFI;HENRIK SKOUBOE;VESTER ALLE 3, LAURBJERG;DK;8870;LANGÅ;86468082;5790000238460;HESKOU@STATOILFUELRETAIL.COM
